prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.7741935483870968,0.6406428571428572,0.8988157894736842,50
3,roc_auc,1.0,1.0,1.0,50
3,pr_auc,1.0,1.0,1.0,50
5,f1,0.9230769230769231,0.7865217391304348,1.0,50
5,roc_auc,1.0,1.0,1.0,50
5,pr_auc,1.0,1.0,1.0,50
10,f1,1.0,1.0,1.0,50
10,roc_auc,1.0,1.0,1.0,50
10,pr_auc,1.0,1.0,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,0.9999999999999999,1.0,50
15,pr_auc,1.0,1.0,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,1.0,1.0,34
