prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.8,0.6666666666666666,0.9632798573975044,50
3,roc_auc,1.0,1.0,1.0,50
3,pr_auc,1.0,0.9999999999999999,1.0,50
5,f1,0.75,0.5989144316730524,0.8947368421052632,50
5,roc_auc,1.0,0.9999999999999999,1.0,50
5,pr_auc,1.0,1.0,1.0,50
10,f1,0.96,0.8739130434782608,1.0,50
10,roc_auc,1.0,1.0,1.0,50
10,pr_auc,1.0,0.9999999999999999,1.0,50
15,f1,0.9523809523809523,0.8421052631578947,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,0.9999999999999999,0.9999999999999999,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,1.0,1.0,34
